username,repo_name,stars,repo_url
metabase,metabase,42.2k,https://github.com/metabase/metabase
penpot,penpot,38.5k,https://github.com/penpot/penpot
logseq,logseq,36.8k,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,14k,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11.7k,https://github.com/LightTable/LightTable
kanaka,mal,10.3k,https://github.com/kanaka/mal
lk-geimfari,awesomo,9.6k,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5.6k,https://github.com/tonsky/datascript
defold,defold,5.1k,https://github.com/defold/defold
reagent-project,reagent,4.8k,https://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,4.5k,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4.2k,https://github.com/riemann/riemann
babashka,babashka,4.2k,https://github.com/babashka/babashka
weavejester,compojure,4.1k,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4k,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,4k,https://github.com/status-im/status-mobile
ring-clojure,ring,3.8k,https://github.com/ring-clojure/ring
clojure-emacs,cider,3.6k,https://github.com/clojure-emacs/cider
viebel,klipse,3.1k,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3.1k,https://github.com/tallesl/Rich-Hickey-fanclub
