username,repo_name,stars,repo_url
realm,SwiftLint,19k,https://github.com/realm/SwiftLint
facebook,infer,15.2k,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,13.8k,https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,13.3k,https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,10.1k,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9.9k,https://github.com/super-linter/super-linter
SonarSource,sonarqube,9.6k,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8.6k,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,8.4k,https://github.com/reviewdog/reviewdog
facebook,pyre-check,7k,https://github.com/facebook/pyre-check
detekt,detekt,6.5k,https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,6k,https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5.7k,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5.5k,https://github.com/pylint-dev/pylint
pmd,pmd,5.1k,https://github.com/pmd/pmd
kucherenko,jscpd,4.9k,https://github.com/kucherenko/jscpd
simplecov-ruby,simplecov,4.8k,https://github.com/simplecov-ruby/simplecov
phpro,grumphp,4.2k,https://github.com/phpro/grumphp
crate-ci,typos,3.2k,https://github.com/crate-ci/typos
htmlhint,HTMLHint,3.1k,https://github.com/htmlhint/HTMLHint
